nVectors,memcpyOut,plan,execu,memcpyIn
12000001,19.062,0.004,30.884,17.314
12000001,18.844,0.004,43.670,17.025
12000001,28.912,0.003,27.425,32.05
12000001,19.243,0.004,8.672,18.816
12000001,19.09,0.004,10.729,17.309
12000001,19.107,0.005,7.770,17.279
12000001,18.821,0.004,16.832,17.371
12000001,18.852,0.004,9.344,17.149
12000001,18.864,0.005,8.551,16.991
12000001,19.405,0.005,8.151,17.112
12000001,29.239,0.003,8.636,32.133
12000001,17.961,0.005,9.270,17.231
12000001,18.082,0.004,12.888,17.405
12000001,18.06,0.004,23.104,17.415
12000001,18.143,0.007,13.530,17.363
12000001,18.131,0.004,39.383,17.802
12000001,17.796,0.005,45.875,17.408
12000001,29.836,0.003,26.872,17.781
12000001,17.817,0.005,43.894,17.393
12000001,18.133,0.006,18.676,17.366
12000001,18.183,0.006,16.544,17.453
12000001,18.246,0.005,7.630,17.123
12000001,18.041,0.005,20.979,17.395
12000001,18.113,0.006,19.102,17.361
12500001,28.13,0.005,9.924,21.451
12500001,19.737,0.005,32.813,18.014
12500001,19.5,0.005,47.580,17.954
12500001,30.252,0.005,43.832,33.686
12500001,19.924,0.004,8.198,17.753
12500001,19.777,0.005,14.879,17.958
12500001,20.106,0.004,8.604,17.814
12500001,19.633,0.004,19.924,18.126
12500001,19.614,0.005,8.526,17.682
12500001,19.762,0.004,8.592,17.661
12500001,19.807,0.003,8.059,18.139
12500001,30.229,0.003,29.186,33.635
12500001,18.886,0.004,13.139,17.994
12500001,18.704,0.005,39.062,18.096
12500001,18.766,0.004,20.100,18.02
12500001,18.584,0.005,16.861,18.096
12500001,18.932,0.004,15.733,18.039
12500001,18.466,0.005,46.932,18.033
12500001,18.784,0.005,9.545,19.731
12500001,18.537,0.005,43.692,18.115
12500001,18.578,0.005,10.330,19.292
12500001,18.632,0.005,19.100,17.981
12500001,18.762,0.004,20.769,18.089
12500001,18.804,0.004,21.230,18.073
12500001,18.496,0.004,10.762,17.789
13000001,27.889,0.005,44.346,22.617
13000001,20.726,0.005,36.954,18.727
13000001,20.361,0.004,49.880,18.5
13000001,31.478,0.005,12.168,35.344
13000001,20.714,0.004,17.337,18.696
