device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,32,1,37,410.774,48.063,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,64,1,37,393.856,48.581,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,128,1,37,395.307,48.094,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,256,1,37,390.189,48.496,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,512,1,37,391.917,48.09,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,1024,1,37,385.422,48.043,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,2048,1,37,385.728,48.173,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,4096,1,37,386.068,48.24,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,8192,1,37,386.977,48.637,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,1,1,37,386.53,49.393,0.01,25469.6,10.317,1.884
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,2,1,37,451.009,61.517,0.009,22742.3,6.082,1.882
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,4,1,37,447.337,61.6,0.011,24194.1,6.062,1.838
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,8,1,37,431.914,52.237,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,16,1,37,400.256,50.203,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,32,1,37,401.818,50.07,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,64,1,37,400.536,50.322,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,128,1,37,402.036,50.186,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,256,1,37,399.729,50.508,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,512,1,37,401.883,50.454,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,1024,1,37,400.203,50.471,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,2048,1,37,402.013,50.522,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,4096,1,37,400.12,50.556,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,1,1,37,401.925,50.409,0.01,26159.3,6.076,1.713
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,2,1,37,450.418,52.504,0.01,24647.3,6.073,1.844
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,4,1,37,432.504,52.356,0.01,24162.6,6.088,1.792
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,8,1,37,446.992,52.528,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,16,1,37,402.852,50.348,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,32,1,37,401.006,50.523,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,64,1,37,401.078,50.529,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,128,1,37,400.231,50.685,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,256,1,37,401.588,50.34,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,512,1,37,401.719,50.607,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,1024,1,37,400.935,50.465,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,2048,1,37,400.812,50.841,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,1,1,37,402.356,50.124,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,2,1,37,401.053,50.499,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,4,1,37,400.866,50.454,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,8,1,37,400.358,50.616,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,16,1,37,403.351,50.13,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,32,1,37,401.433,50.4,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,64,1,37,401.704,50.21,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,128,1,37,399.815,50.543,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,256,1,37,401.424,50.315,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,512,1,37,400.101,50.622,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,1024,1,37,400.691,50.586,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,1,1,37,400.045,50.494,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,2,1,37,402.533,50.831,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,4,1,37,400.917,50.247,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,8,1,37,400.604,50.212,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,16,1,37,400.498,50.183,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,32,1,37,403.31,50.43,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,64,1,37,400.899,50.226,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,128,1,37,400.588,50.528,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,256,1,37,401.379,50.447,0.01,-1,-1,-1
