device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,655.382,134.594,0.002,7.679,18.938,0.637
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,653.388,134.597,0.002,4.758,9.833,0.62
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,650.362,134.223,0.003,3.023,5.302,0.628
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,649.566,134.317,0.002,1.992,2.931,0.617
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,649.949,134.202,0.002,1.703,1.835,0.681
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,648.695,134.707,0.002,1.444,1.557,0.597
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,649.778,134.992,0.002,1.527,1.299,0.574
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,648.526,134.473,0.002,1.771,1.36,0.572
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,648.862,134.222,0.003,2.231,1.192,0.576
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,673.203,134.351,0.002,20.211,75.482,0.928
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,660.263,134.308,0.002,12.539,37.808,0.668
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,655.759,134.296,0.002,7.689,19.031,0.636
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,654.174,134.479,0.002,4.767,9.819,0.629
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,650.611,134.781,0.002,3.051,5.25,0.624
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,649.671,134.758,0.002,2.013,2.929,0.624
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,650.367,134.355,0.002,1.681,1.808,0.633
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,649.238,134.487,0.002,1.467,1.474,0.565
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,650.282,134.412,0.002,1.548,1.458,0.581
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,648.57,134.877,0.002,1.775,1.283,0.593
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,648.607,134.652,0.002,2.096,1.208,0.583
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,673.108,134.097,0.002,20.161,75.41,0.929
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,659.457,134.163,0.002,12.515,37.876,0.672
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,656.389,134.28,0.002,7.677,19.084,0.636
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,653.047,134.191,0.002,4.764,9.872,0.63
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,652.617,134.34,0.003,3.105,5.319,0.631
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,649.362,134.295,0.002,1.996,3.1,0.687
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,649.047,134.184,0.002,1.752,1.855,0.627
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,650.255,134.113,0.002,1.454,1.474,0.574
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,649.239,134.233,0.002,1.551,1.425,0.582
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,649.392,134.526,0.002,1.778,1.263,0.604
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,648.7,134.062,0.003,2.078,1.249,0.589
