nVectors,memcpyOut,plan,execu,memcpyIn
7400000,67.878,180.805,1041.001,70.871,
7600000,78.738,192.100,629.273,73.123,
7800000,73.044,191.515,658.484,73.919,
8000000,74.700,0.502,549.906,75.285,
8200000,76.019,197.108,1145.350,79.551,
8400000,83.782,202.059,690.623,85.101,
8600000,88.175,211.825,860.510,81.635,
8800000,83.865,222.116,767.028,85.207,
9000000,86.086,0.457,620.630,87.509,
9200000,89.133,239.552,796.522,90.687,
9400000,90.144,227.370,964.103,93.894,
9600000,94.058,231.580,808.281,99.774,
9800000,94.771,235.497,835.913,94.492,
10000000,96.060,249.922,828.102,96.747,
2,0.002,0.017,0.001,0.000,
200000,1.802,3.909,8.129,1.926,
400000,3.964,8.051,18.207,3.727,
600000,5.754,12.584,27.433,5.757,
800000,7.300,15.794,37.065,3.399,
1000000,5.250,0.262,58.662,4.245,
1200000,5.526,24.427,56.537,5.253,
1400000,6.410,28.447,69.519,6.129,
1600000,16.089,32.693,78.997,7.039,
1800000,16.624,37.104,93.135,17.122,
2000000,18.537,0.348,128.794,19.691,
2200000,20.479,46.488,117.999,21.009,
2400000,24.211,48.822,122.095,23.077,
2600000,24.564,53.437,141.708,25.144,
2800000,25.921,56.885,152.321,31.095,
3000000,29.085,62.313,168.518,29.042,
3200000,32.024,65.150,186.018,30.482,
3400000,31.466,68.926,225.401,33.839,
3600000,36.024,72.896,231.728,34.642,
3800000,39.380,76.954,260.498,37.682,
4000000,41.140,0.349,262.116,38.268,
4200000,38.857,95.781,279.673,39.814,
4400000,41.488,100.390,309.745,43.566,
4600000,44.230,106.044,346.287,43.923,
4800000,47.142,111.051,328.268,46.646,
5000000,46.691,115.385,350.544,51.246,
5200000,53.372,131.683,373.574,53.229,
5400000,51.683,129.837,423.579,51.525,
5600000,52.325,137.558,412.652,54.724,
5800000,58.393,143.752,485.176,57.441,
6000000,55.945,150.060,451.696,57.374,
6200000,62.028,151.577,543.949,59.305,
6400000,59.904,158.975,506.885,62.785,
6600000,62.130,161.434,545.257,62.786,
6800000,63.479,170.877,543.617,69.003,
7000000,67.682,172.488,549.306,70.502,
7200000,70.229,177.490,584.926,69.490,
7400000,78.204,183.259,1057.663,73.697,
7600000,76.156,193.438,630.826,73.379,
7800000,73.409,191.459,653.117,78.765,
8000000,79.055,0.500,553.020,76.061,
8200000,79.275,199.990,1165.652,79.228,
8400000,81.166,205.114,685.718,83.575,
8600000,85.677,213.690,864.776,87.773,
8800000,84.584,224.923,768.214,85.931,
9000000,86.318,0.457,624.221,90.169,
9200000,88.347,238.636,795.177,89.776,
9400000,90.859,225.665,968.656,93.323,
9600000,98.842,231.860,793.407,92.847,
9800000,93.740,235.985,835.234,94.822,
10000000,96.283,244.722,833.556,101.319,
2,0.002,0.018,0.000,0.000,
200000,1.844,3.956,7.834,1.699,
400000,3.971,7.764,16.502,3.696,
600000,5.740,12.335,29.946,6.115,
800000,8.027,15.879,39.613,3.759,
1000000,5.659,0.273,59.072,4.191,
1200000,5.439,24.561,56.729,5.158,
1400000,6.349,28.599,69.973,6.028,
1600000,15.378,32.770,79.140,6.908,
1800000,17.633,37.220,93.608,17.814,
2000000,19.199,0.346,128.454,19.538,
2200000,20.560,44.956,124.489,21.916,
2400000,23.080,49.045,121.784,23.442,
2600000,24.871,53.620,142.568,25.100,
2800000,26.905,57.203,152.212,28.275,
3000000,29.841,62.906,177.072,29.808,
3200000,30.244,65.255,186.321,30.725,
3400000,32.202,69.347,221.046,33.444,
3600000,34.940,74.989,232.923,34.736,
3800000,36.697,77.551,259.922,37.486,
4000000,37.522,0.357,257.831,39.179,
4200000,39.286,95.583,278.072,43.163,
4400000,41.028,100.175,300.441,44.611,
4600000,43.271,105.079,338.955,44.486,
4800000,44.995,109.730,330.221,46.121,
5000000,49.502,113.912,347.909,47.914,
5200000,48.867,134.022,370.422,49.804,
5400000,51.948,129.681,419.005,52.525,
5600000,56.883,137.828,402.612,56.561,
5800000,55.371,145.608,481.911,55.935,
6000000,56.490,146.959,452.598,58.184,
6200000,58.057,153.176,539.188,60.540,
6400000,60.553,158.541,503.213,64.582,
6600000,65.316,161.199,533.245,66.369,
6800000,66.569,170.042,536.627,66.850,
7000000,67.979,174.644,549.398,67.896,
7200000,67.675,179.728,584.178,69.216,
7400000,69.345,183.702,1048.158,71.308,
7600000,71.078,190.317,628.064,76.625,
7800000,75.447,190.968,652.963,74.436,
8000000,80.681,0.505,550.881,79.413,
8200000,79.193,197.933,1166.098,78.320,
8400000,85.057,202.428,692.748,81.288,
8600000,81.798,213.111,858.744,89.883,
8800000,87.208,223.077,768.185,90.989,
9000000,87.131,0.461,620.498,90.878,
9200000,88.702,238.123,793.225,91.918,
9400000,90.092,226.179,969.821,90.493,
9600000,91.409,233.698,782.342,93.016,
